guarantee_type,field_code,required
ALL,BENEFICIARY_NAME,true
ALL,BENEFICIARY_ADDR,true
ALL,CONTRACTOR_NAME,true
ALL,CONTRACTOR_ADDR,true
ALL,GUARANTEE_AMOUNT,true
ALL,CURRENCY,true
ALL,AMOUNT_TEXT,true
ALL,VALIDITY,true
BLDT,BID_PACKAGE_NAME,true
BLDT,BID_NOTICE_NO,true
BLDT,PROJECT_NAME,true
BLDT,SECTOR,true
BLDT,CONTRACT_REF,false
BLBH,CONTRACT_REF,true
BLBH,SIGN_DATE,true
BLBH,CONTRACT_STATUS,true
BLTH,CONTRACT_REF,true
BLTH,CONTRACT_STATUS,true
BLTH,BID_PACKAGE_NAME,false
BLTU,CONTRACT_REF,true
BLTU,SIGN_DATE,true
BLTU,CONTRACT_STATUS,true
BLTT,CONTRACT_REF,true
BLTT,SIGN_DATE,true
BLKH,CONTRACT_REF,true
BLKH,CONTRACT_STATUS,true
LD,JOINT_VENTURE_INFO,true
