template_id,source,currency,guarantee_type,method,language,template_type,sector,circular,joint_venture,envelope,validity_allowed,template_file,folder,active
OFF-001,OFFLINE,VND,BLBH,TG,TV,EVN,,,LD,,1-4,LD_BLBH_TV_EVN.docx,.Liên danh (template thư giấy),true
OFF-002,OFFLINE,VND,BLBH,TG,TV,VIT,,,LD,,1-4,LD_BLBH_TV_VIT.docx,.Liên danh (template thư giấy),true
OFF-003,OFFLINE,VND,BLDT,TG,TV,T07,,,LD,,1-4,LD_BLDT_TV_TT07.docx,.Liên danh (template thư giấy),true
OFF-004,OFFLINE,VND,BLDT,TG,TV,T22,HH,,LD,,1-4,LD_BLDT_TV_TT22_HH.docx,.Liên danh (template thư giấy),true
OFF-005,OFFLINE,VND,BLTH,TG,TV,EVN,,,LD,,1-4,LD_BLTH_TV_EVN.docx,.Liên danh (template thư giấy),true
OFF-006,OFFLINE,VND,BLTH,TG,TV,T07,DL,,LD,,1-4,LD_BLTH_TV_TT07_DL.docx,.Liên danh (template thư giấy),true
OFF-007,OFFLINE,VND,BLTH,TG,TV,T07,MT,,LD,,1-4,LD_BLTH_TV_TT07_MT (1 thụ hưởng).docx,.Liên danh (template thư giấy),true
OFF-008,OFFLINE,VND,BLTH,TG,TV,T07,MT,,LD,,1-4,LD_BLTH_TV_TT07_MT (lô thụ hưởng).docx,.Liên danh (template thư giấy),true
OFF-009,OFFLINE,VND,BLTH,TG,TV,T22,HH,,LD,,1-4,LD_BLTH_TV_TT22_HH.docx,.Liên danh (template thư giấy),true
OFF-010,OFFLINE,VND,BLTH,TG,TV,T22,HON_HOP,,LD,,1-4,LD_BLTH_TV_TT22_HON_HOP.docx,.Liên danh (template thư giấy),true
OFF-011,OFFLINE,VND,BLTH,TG,TV,T22,PTV,,LD,,1-4,LD_BLTH_TV_TT22_PTV.docx,.Liên danh (template thư giấy),true
OFF-012,OFFLINE,VND,BLTH,TG,TV,T22,TBYT,,LD,,1-4,LD_BLTH_TV_TT22_TBYT.docx,.Liên danh (template thư giấy),true
OFF-013,OFFLINE,VND,BLTH,TG,TV,T22,XL,,LD,,1-4,LD_BLTH_TV_TT22_XL.docx,.Liên danh (template thư giấy),true
OFF-014,OFFLINE,VND,BLTH,TG,TV,VIT,,,LD,,1-4,LD_BLTH_TV_VIT.docx,.Liên danh (template thư giấy),true
OFF-015,OFFLINE,VND,BLTU,TG,TV,EVN,,,LD,,1-5,LD_BLTU_TV_EVN.docx,.Liên danh (template thư giấy),true
OFF-016,OFFLINE,VND,BLTU,TG,TV,T22,HH,,LD,,1-5,LD_BLTU_TV_TT22_HH.docx,.Liên danh (template thư giấy),true
OFF-017,OFFLINE,VND,BLTU,TG,TV,T22,HON_HOP,,LD,,1-5,LD_BLTU_TV_TT22_HON_HOP.docx,.Liên danh (template thư giấy),true
OFF-018,OFFLINE,VND,BLTU,TG,TV,T22,PTV,,LD,,1-5,LD_BLTU_TV_TT22_PTV.docx,.Liên danh (template thư giấy),true
OFF-019,OFFLINE,VND,BLTU,TG,TV,T22,TBYT,,LD,,1-5,LD_BLTU_TV_TT22_TBYT.docx,.Liên danh (template thư giấy),true
OFF-020,OFFLINE,VND,BLTU,TG,TV,T22,XL,,LD,,1-5,LD_BLTU_TV_TT22_XL.docx,.Liên danh (template thư giấy),true
OFF-021,OFFLINE,VND,BLTU,TG,TV,VIT,,,LD,,1-5,LD_BLTU_TV_VIT.docx,.Liên danh (template thư giấy),true
OFF-022,OFFLINE,VND,BLBH,ĐT,TV,EVN,,,LD,,1-4,LD_BLBH_TV_EVN.docx,.Liên danh (template thư điện tử),true
OFF-023,OFFLINE,VND,BLBH,ĐT,TV,VIT,,,LD,,1-4,LD_BLBH_TV_VIT.docx,.Liên danh (template thư điện tử),true
OFF-024,OFFLINE,VND,BLDT,ĐT,TV,T07,,,LD,,1-4,LD_BLDT_TV_TT07.docx,.Liên danh (template thư điện tử),true
OFF-025,OFFLINE,VND,BLDT,ĐT,TV,T22,HH,,LD,,1-4,LD_BLDT_TV_TT22_HH.docx,.Liên danh (template thư điện tử),true
OFF-026,OFFLINE,VND,BLTH,ĐT,TV,EVN,,,LD,,1-4,LD_BLTH_TV_EVN.docx,.Liên danh (template thư điện tử),true
OFF-027,OFFLINE,VND,BLTH,ĐT,TV,T07,DL,,LD,,1-4,LD_BLTH_TV_TT07_DL.docx,.Liên danh (template thư điện tử),true
OFF-028,OFFLINE,VND,BLTH,ĐT,TV,T07,MT,,LD,,1-4,LD_BLTH_TV_TT07_MT (1 thụ hưởng).docx,.Liên danh (template thư điện tử),true
OFF-029,OFFLINE,VND,BLTH,ĐT,TV,T07,MT,,LD,,1-4,LD_BLTH_TV_TT07_MT (lô thụ hưởng).docx,.Liên danh (template thư điện tử),true
OFF-030,OFFLINE,VND,BLTH,ĐT,TV,T22,HH,,LD,,1-4,LD_BLTH_TV_TT22_HH.docx,.Liên danh (template thư điện tử),true
OFF-031,OFFLINE,VND,BLTH,ĐT,TV,T22,HON_HOP,,LD,,1-4,LD_BLTH_TV_TT22_HON_HOP.docx,.Liên danh (template thư điện tử),true
OFF-032,OFFLINE,VND,BLTH,ĐT,TV,T22,PTV,,LD,,1-4,LD_BLTH_TV_TT22_PTV.docx,.Liên danh (template thư điện tử),true
OFF-033,OFFLINE,VND,BLTH,ĐT,TV,T22,TBYT,,LD,,1-4,LD_BLTH_TV_TT22_TBYT.docx,.Liên danh (template thư điện tử),true
OFF-034,OFFLINE,VND,BLTH,ĐT,TV,T22,XL,,LD,,1-4,LD_BLTH_TV_TT22_XL.docx,.Liên danh (template thư điện tử),true
OFF-035,OFFLINE,VND,BLTH,ĐT,TV,VIT,,,LD,,1-4,LD_BLTH_TV_VIT.docx,.Liên danh (template thư điện tử),true
OFF-036,OFFLINE,VND,BLTU,ĐT,TV,EVN,,,LD,,1-5,LD_BLTU_TV_EVN.docx,.Liên danh (template thư điện tử),true
OFF-037,OFFLINE,VND,BLTU,ĐT,TV,T22,HH,,LD,,1-5,LD_BLTU_TV_TT22_HH.docx,.Liên danh (template thư điện tử),true
OFF-038,OFFLINE,VND,BLTU,ĐT,TV,T22,HON_HOP,,LD,,1-5,LD_BLTU_TV_TT22_HON_HOP.docx,.Liên danh (template thư điện tử),true
OFF-039,OFFLINE,VND,BLTU,ĐT,TV,T22,PTV,,LD,,1-5,LD_BLTU_TV_TT22_PTV.docx,.Liên danh (template thư điện tử),true
OFF-040,OFFLINE,VND,BLTU,ĐT,TV,T22,TBYT,,LD,,1-5,LD_BLTU_TV_TT22_TBYT.docx,.Liên danh (template thư điện tử),true
OFF-041,OFFLINE,VND,BLTU,ĐT,TV,T22,XL,,LD,,1-5,LD_BLTU_TV_TT22_XL.docx,.Liên danh (template thư điện tử),true
OFF-042,OFFLINE,VND,BLTU,ĐT,TV,VIT,,,LD,,1-5,LD_BLTU_TV_VIT.docx,.Liên danh (template thư điện tử),true
OFF-043,OFFLINE,VND,BLBH,TG,TV,EVN,,,KO,,1-4,BLBH_TV_EVN.docx,.Độc lập (template thư giấy),true
OFF-044,OFFLINE,VND,BLBH,TG,TV,TPB,,,KO,,"1,2",BLBH_TV_TPB.docx,.Độc lập (template thư giấy),true
OFF-045,OFFLINE,VND,BLBH,TG,TV,VIT,,,KO,,1-4,BLBH_TV_VIT.docx,.Độc lập (template thư giấy),true
OFF-046,OFFLINE,VND,BLDT,TG,TV,TPB,,,KO,,"1,2",BLDT_TV_TPB.docx,.Độc lập (template thư giấy),true
OFF-047,OFFLINE,VND,BLDT,TG,TV,T07,,,KO,,1-4,BLDT_TV_TT07.docx,.Độc lập (template thư giấy),true
OFF-048,OFFLINE,VND,BLDT,TG,TV,T22,HH,,KO,,1-4,BLDT_TV_TT22_HH.docx,.Độc lập (template thư giấy),true
OFF-049,OFFLINE,VND,BLTH,TG,TV,EVN,,,KO,,1-4,BLTH_TV_EVN.docx,.Độc lập (template thư giấy),true
OFF-050,OFFLINE,VND,BLTH,TG,TV,TPB,,,KO,,"1,2",BLTH_TV_TPB.docx,.Độc lập (template thư giấy),true
OFF-051,OFFLINE,VND,BLTH,TG,TV,T07,DL,,KO,,1-4,BLTH_TV_TT07_DL.docx,.Độc lập (template thư giấy),true
OFF-052,OFFLINE,VND,BLTH,TG,TV,T07,MT,,KO,,1-4,BLTH_TV_TT07_MT (1 thụ hưởng).docx,.Độc lập (template thư giấy),true
OFF-053,OFFLINE,VND,BLTH,TG,TV,T07,MT,,KO,,1-4,BLTH_TV_TT07_MT (lô thụ hưởng).docx,.Độc lập (template thư giấy),true
OFF-054,OFFLINE,VND,BLTH,TG,TV,T22,HH,,KO,,1-4,BLTH_TV_TT22_HH.docx,.Độc lập (template thư giấy),true
OFF-055,OFFLINE,VND,BLTH,TG,TV,T22,HON_HOP,,KO,,1-4,BLTH_TV_TT22_HON_HOP.docx,.Độc lập (template thư giấy),true
OFF-056,OFFLINE,VND,BLTH,TG,TV,T22,PTV,,KO,,1-4,BLTH_TV_TT22_PTV.docx,.Độc lập (template thư giấy),true
OFF-057,OFFLINE,VND,BLTH,TG,TV,T22,TBYT,,KO,,1-4,BLTH_TV_TT22_TBYT.docx,.Độc lập (template thư giấy),true
OFF-058,OFFLINE,VND,BLTH,TG,TV,T22,XL,,KO,,1-4,BLTH_TV_TT22_XL.docx,.Độc lập (template thư giấy),true
OFF-059,OFFLINE,VND,BLTH,TG,TV,VIT,,,KO,,1-4,BLTH_TV_VIT.docx,.Độc lập (template thư giấy),true
OFF-060,OFFLINE,VND,BLTT,TG,TV,TPB,,,KO,,"1,2",BLTT_TV_TPB.docx,.Độc lập (template thư giấy),true
OFF-061,OFFLINE,VND,BLTU,TG,TV,EVN,,,KO,,1-5,BLTU_TV_EVN.docx,.Độc lập (template thư giấy),true
